org.la4j.matrix.sparse.CRSMatrixTest.testRank_7x11 12ms 12ms 12ms 14ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 11ms 12ms 12ms 12ms 12ms 12ms 12ms 14ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 13ms 13ms 12ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 
org.la4j.linear.SweepSolverTest.testSolve 9ms 10ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 10ms 9ms 10ms 9ms 9ms 9ms 10ms 9ms 10ms 10ms 9ms 9ms 9ms 10ms 9ms 10ms 10ms 9ms 9ms 9ms 10ms 10ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 10ms 9ms 10ms 9ms 10ms 10ms 9ms 9ms 9ms 10ms 10ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 10ms 10ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 10ms 9ms 9ms 9ms 9ms 
org.la4j.decomposition.CholeskyDecompositorTest.testDecompose_5x5 9ms 9ms 10ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 10ms 10ms 9ms 9ms 9ms 9ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 8ms 10ms 9ms 10ms 9ms 8ms 9ms 9ms 9ms 8ms 8ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 8ms 8ms 9ms 8ms 9ms 8ms 9ms 9ms 10ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 8ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 8ms 8ms 10ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 12ms 8ms 8ms 9ms 8ms 9ms 
org.la4j.decomposition.QRDecompositorTest.testDecompose_3x3 16ms 9ms 9ms 9ms 8ms 9ms 10ms 8ms 8ms 9ms 9ms 8ms 8ms 8ms 11ms 9ms 9ms 9ms 9ms 9ms 13ms 9ms 22ms 9ms 10ms 9ms 9ms 9ms 10ms 8ms 9ms 16ms 9ms 10ms 9ms 9ms 9ms 9ms 8ms 22ms 9ms 9ms 8ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 10ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 8ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 10ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 14ms 9ms 10ms 9ms 8ms 9ms 9ms 9ms 10ms 10ms 9ms 9ms 9ms 
org.la4j.decomposition.QRDecompositorTest.testDecompose_3x2 19ms 22ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 11ms 9ms 9ms 9ms 10ms 11ms 9ms 9ms 10ms 9ms 11ms 16ms 9ms 11ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 15ms 9ms 9ms 9ms 9ms 9ms 11ms 9ms 9ms 10ms 9ms 9ms 11ms 9ms 10ms 9ms 16ms 9ms 9ms 9ms 9ms 9ms 9ms 12ms 9ms 9ms 9ms 9ms 10ms 10ms 9ms 8ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 17ms 17ms 9ms 9ms 9ms 9ms 9ms 10ms 11ms 9ms 9ms 9ms 9ms 
org.la4j.matrix.dense.Basic1DMatrixTest.testRowAccess_5x3 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 9ms 10ms 10ms 11ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 11ms 10ms 10ms 
org.la4j.vector.sparse.CompressedVectorTest.testResize_3_to_5_to_2 9ms 9ms 9ms 9ms 9ms 9ms 10ms 9ms 9ms 9ms 10ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 8ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 8ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 9ms 8ms 9ms 9ms 
org.la4j.matrix.dense.Basic1DMatrixTest.testRank_2x4 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 9ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 9ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 
org.la4j.matrix.sparse.CRSMatrixTest.testRank_0x0 11ms 11ms 11ms 11ms 10ms 12ms 11ms 11ms 13ms 11ms 11ms 11ms 11ms 11ms 10ms 10ms 12ms 11ms 11ms 15ms 11ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 12ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 12ms 11ms 11ms 11ms 11ms 10ms 11ms 11ms 11ms 10ms 11ms 12ms 11ms 11ms 11ms 10ms 11ms 10ms 10ms 11ms 11ms 11ms 11ms 11ms 10ms 10ms 11ms 11ms 11ms 10ms 11ms 15ms 11ms 16ms 
org.la4j.matrix.dense.Basic2DMatrixTest.testDeterminant_3x3 13ms 12ms 12ms 12ms 13ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 13ms 13ms 12ms 20ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 13ms 13ms 21ms 12ms 12ms 12ms 12ms 11ms 13ms 12ms 12ms 12ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 11ms 12ms 12ms 12ms 13ms 13ms 12ms 12ms 13ms 13ms 11ms 12ms 12ms 13ms 13ms 13ms 12ms 12ms 12ms 13ms 20ms 12ms 13ms 13ms 21ms 12ms 14ms 13ms 21ms 13ms 12ms 12ms 14ms 12ms 12ms 12ms 12ms 12ms 13ms 13ms 13ms 13ms 12ms 12ms 12ms 12ms 12ms 12ms 12ms 
org.la4j.matrix.dense.Basic2DMatrixTest.testAccess_3x3 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 9ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 9ms 10ms 9ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 9ms 10ms 11ms 10ms 10ms 9ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 10ms 11ms 9ms 10ms 9ms 10ms 10ms 10ms 10ms 
