com.github.searls.jasmine.io.scripts.ResolvesLocationOfPreloadSourcesIntegrationTest.loadsSpecFileWhenItExistsUnderSpec 566ms 495ms 493ms 496ms 636ms 490ms 623ms 483ms 495ms 623ms 499ms 633ms 621ms 492ms 489ms 486ms 526ms 484ms 639ms 490ms 491ms 560ms 495ms 629ms 487ms 527ms 527ms 487ms 491ms 621ms 489ms 490ms 489ms 505ms 492ms 488ms 623ms 493ms 486ms 639ms 495ms 488ms 557ms 640ms 490ms 490ms 626ms 489ms 492ms 559ms 623ms 493ms 501ms 497ms 495ms 496ms 622ms 489ms 628ms 624ms 556ms 485ms 488ms 495ms 488ms 497ms 488ms 528ms 518ms 627ms 490ms 629ms 619ms 500ms 493ms 490ms 619ms 617ms 486ms 499ms 485ms 486ms 495ms 615ms 487ms 485ms 488ms 497ms 493ms 488ms 486ms 516ms 492ms 562ms 569ms 490ms 489ms 492ms 493ms 558ms 
com.github.searls.jasmine.io.scripts.FindsScriptLocationsInDirectoryTest.returnsEmptyWhenDirectoryDoesNotExist 548ms 667ms 557ms 491ms 685ms 488ms 683ms 679ms 497ms 683ms 493ms 685ms 677ms 555ms 675ms 487ms 497ms 685ms 705ms 492ms 488ms 550ms 530ms 688ms 527ms 527ms 494ms 679ms 491ms 687ms 499ms 527ms 675ms 537ms 491ms 532ms 682ms 689ms 489ms 693ms 530ms 548ms 547ms 692ms 672ms 684ms 686ms 679ms 489ms 554ms 688ms 494ms 494ms 501ms 497ms 492ms 691ms 677ms 692ms 678ms 553ms 665ms 670ms 557ms 685ms 501ms 491ms 490ms 551ms 688ms 667ms 691ms 697ms 497ms 524ms 523ms 684ms 683ms 688ms 559ms 673ms 669ms 527ms 686ms 490ms 676ms 550ms 688ms 676ms 682ms 671ms 667ms 496ms 562ms 567ms 681ms 535ms 495ms 549ms 553ms 
com.github.searls.jasmine.coffee.HandlesRequestsForCoffeeTest.whenCoffeeCompilesThenWriteIt 489ms 490ms 491ms 487ms 488ms 488ms 489ms 490ms 484ms 485ms 491ms 491ms 489ms 493ms 487ms 487ms 492ms 489ms 498ms 488ms 495ms 487ms 486ms 493ms 483ms 487ms 491ms 488ms 488ms 488ms 486ms 496ms 492ms 501ms 488ms 492ms 486ms 496ms 485ms 490ms 491ms 484ms 488ms 488ms 487ms 494ms 483ms 485ms 487ms 487ms 492ms 490ms 492ms 497ms 493ms 486ms 491ms 492ms 492ms 484ms 490ms 488ms 488ms 490ms 488ms 491ms 488ms 495ms 497ms 484ms 487ms 497ms 494ms 497ms 488ms 490ms 486ms 488ms 489ms 497ms 493ms 487ms 492ms 485ms 487ms 487ms 489ms 493ms 493ms 497ms 487ms 488ms 486ms 492ms 497ms 504ms 489ms 490ms 489ms 484ms 
com.github.searls.jasmine.driver.WebDriverFactoryTest.customDriverIsCreatedWithDefaultConstructorIfNoCapabilitiesConstructorExists 491ms 492ms 499ms 498ms 489ms 489ms 492ms 492ms 495ms 490ms 490ms 496ms 495ms 494ms 487ms 491ms 488ms 495ms 499ms 490ms 492ms 491ms 491ms 494ms 489ms 491ms 495ms 491ms 525ms 497ms 489ms 499ms 490ms 501ms 493ms 483ms 490ms 498ms 480ms 504ms 494ms 490ms 490ms 492ms 493ms 503ms 486ms 489ms 522ms 494ms 495ms 492ms 495ms 505ms 488ms 489ms 496ms 491ms 489ms 482ms 492ms 492ms 491ms 493ms 488ms 501ms 489ms 491ms 503ms 489ms 489ms 496ms 497ms 496ms 493ms 487ms 494ms 493ms 494ms 495ms 495ms 489ms 491ms 490ms 525ms 493ms 500ms 494ms 494ms 503ms 489ms 493ms 494ms 491ms 501ms 491ms 493ms 490ms 490ms 492ms 
com.github.searls.jasmine.format.BuildsJavaScriptToWriteFailureHtmlTest.esacpesMessageString 638ms 580ms 561ms 562ms 562ms 562ms 557ms 559ms 587ms 553ms 554ms 561ms 558ms 561ms 564ms 554ms 566ms 560ms 600ms 564ms 556ms 557ms 583ms 555ms 558ms 560ms 588ms 577ms 756ms 560ms 556ms 565ms 574ms 577ms 560ms 553ms 558ms 567ms 618ms 563ms 569ms 571ms 559ms 567ms 581ms 591ms 566ms 571ms 689ms 568ms 559ms 560ms 574ms 563ms 563ms 566ms 562ms 562ms 571ms 556ms 583ms 562ms 556ms 563ms 557ms 555ms 568ms 564ms 570ms 570ms 581ms 562ms 564ms 602ms 560ms 556ms 567ms 559ms 584ms 563ms 555ms 572ms 560ms 550ms 695ms 585ms 558ms 572ms 565ms 556ms 559ms 559ms 555ms 561ms 577ms 572ms 557ms 561ms 597ms 602ms 
com.github.searls.jasmine.coffee.HandlesRequestsForCoffeeTest.whenCoffeeCompilationFailsThenWriteTheErrorOutInItsStead 484ms 486ms 488ms 654ms 487ms 490ms 482ms 482ms 488ms 481ms 493ms 489ms 487ms 488ms 486ms 487ms 490ms 486ms 492ms 674ms 484ms 491ms 490ms 489ms 488ms 485ms 496ms 484ms 492ms 486ms 655ms 495ms 486ms 496ms 486ms 486ms 489ms 488ms 481ms 489ms 490ms 485ms 482ms 486ms 486ms 492ms 484ms 517ms 483ms 489ms 494ms 663ms 493ms 668ms 664ms 663ms 489ms 485ms 486ms 486ms 484ms 486ms 484ms 489ms 485ms 539ms 637ms 483ms 493ms 489ms 489ms 488ms 483ms 493ms 487ms 488ms 484ms 481ms 486ms 491ms 485ms 484ms 488ms 483ms 481ms 486ms 482ms 495ms 490ms 487ms 484ms 487ms 659ms 491ms 493ms 489ms 487ms 492ms 482ms 483ms 
com.github.searls.jasmine.coffee.HandlesRequestsForCoffeeTest.setsBaseRequestHandledToTrue 486ms 490ms 496ms 488ms 490ms 494ms 484ms 493ms 492ms 493ms 498ms 517ms 491ms 498ms 494ms 493ms 490ms 499ms 499ms 494ms 489ms 491ms 489ms 495ms 496ms 491ms 494ms 494ms 487ms 489ms 491ms 494ms 493ms 495ms 487ms 489ms 491ms 494ms 483ms 491ms 496ms 490ms 488ms 496ms 491ms 497ms 489ms 492ms 491ms 489ms 488ms 498ms 503ms 498ms 498ms 505ms 497ms 496ms 489ms 496ms 491ms 493ms 490ms 493ms 503ms 498ms 486ms 494ms 493ms 489ms 492ms 488ms 490ms 498ms 489ms 491ms 491ms 493ms 496ms 495ms 493ms 490ms 499ms 489ms 493ms 495ms 495ms 503ms 499ms 493ms 490ms 495ms 513ms 488ms 500ms 493ms 489ms 492ms 491ms 484ms 
com.github.searls.jasmine.coffee.DetectsCoffeeTest.whenAStringDoesNotEndInCoffeeThatsNotCoffee 484ms 487ms 491ms 484ms 489ms 489ms 483ms 484ms 487ms 482ms 494ms 493ms 487ms 492ms 486ms 488ms 493ms 490ms 506ms 531ms 482ms 493ms 487ms 488ms 483ms 485ms 493ms 485ms 485ms 486ms 484ms 493ms 489ms 500ms 485ms 486ms 488ms 490ms 485ms 489ms 490ms 485ms 483ms 487ms 484ms 505ms 489ms 485ms 490ms 493ms 484ms 489ms 492ms 494ms 491ms 496ms 494ms 486ms 495ms 488ms 488ms 487ms 487ms 491ms 493ms 485ms 484ms 478ms 489ms 501ms 491ms 486ms 486ms 495ms 484ms 492ms 484ms 486ms 491ms 494ms 489ms 484ms 490ms 488ms 488ms 484ms 486ms 498ms 496ms 488ms 482ms 486ms 482ms 497ms 493ms 482ms 486ms 484ms 483ms 486ms 
com.github.searls.jasmine.server.JasmineResourceHandlerTest.whenCoffeeDelegatesToCoffeeHandler 688ms 494ms 691ms 496ms 493ms 494ms 495ms 494ms 497ms 493ms 494ms 499ms 496ms 690ms 496ms 493ms 496ms 495ms 502ms 497ms 500ms 673ms 501ms 497ms 496ms 496ms 498ms 494ms 500ms 498ms 495ms 496ms 498ms 508ms 494ms 494ms 495ms 501ms 493ms 502ms 503ms 490ms 672ms 493ms 496ms 502ms 490ms 493ms 499ms 677ms 502ms 498ms 499ms 508ms 497ms 503ms 499ms 498ms 495ms 489ms 493ms 496ms 495ms 681ms 503ms 493ms 496ms 503ms 695ms 492ms 495ms 498ms 498ms 502ms 493ms 500ms 495ms 490ms 493ms 504ms 503ms 498ms 495ms 494ms 497ms 500ms 691ms 499ms 499ms 508ms 495ms 494ms 496ms 689ms 687ms 494ms 499ms 494ms 492ms 683ms 
com.github.searls.jasmine.server.ServerManagerTest.testStop 510ms 515ms 520ms 514ms 522ms 518ms 509ms 526ms 512ms 513ms 517ms 524ms 514ms 514ms 515ms 515ms 522ms 521ms 523ms 517ms 509ms 519ms 516ms 517ms 515ms 512ms 523ms 510ms 514ms 521ms 512ms 515ms 519ms 522ms 512ms 515ms 515ms 515ms 508ms 511ms 521ms 509ms 517ms 513ms 525ms 521ms 508ms 517ms 513ms 514ms 516ms 518ms 522ms 520ms 525ms 524ms 516ms 518ms 520ms 513ms 514ms 527ms 512ms 520ms 528ms 519ms 521ms 508ms 513ms 511ms 510ms 510ms 518ms 521ms 515ms 513ms 520ms 517ms 516ms 519ms 514ms 512ms 519ms 516ms 516ms 513ms 520ms 525ms 520ms 527ms 518ms 516ms 510ms 513ms 523ms 513ms 517ms 515ms 510ms 508ms 
